product name,asin,brand name,mrp,sale price,discount percentage,product description,date first available,number of reviews,seller name
Disposable Surgical face mask 2 ply elastic Pack of 100,B07W5N3HFZ,Krizartz,,,,Surgical mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials.,06-08-19 0:00,0,
Tdas anti pollution mask for men women n95 with inbuilt filter air masks reusable V-410-V - 5 pcs Masks,B084GSQKS8,Tdas,,,,Are you now troubled by dust chemicals smoke particles virus and bacteria? Do you want to enjoy safe life? Are you live in haze days dust vehicle exhaust air pollution? Our environment are full of dust haze vehicle exhaust air pollution and the dust mask can keep you from 98% dust dirt pollen allergens fumes or particulates that effect you breath in the air. â˜› Breathing easily â˜› Skin cared and comfortable in wearing â˜› Adjustable fitness between mask and nose with nose clip and earloop â˜› Health and environmental protection materials â˜› Moisture-proof â˜› Dust mask with valve â˜› Anti dust n95 PM2.5 bacteria fog and other harmful grain 1. Materials: High quality Non-woven fabric and cotton 2. Product weight: 25 grams 3. Uses: Running cycling riding motorcycle woodworking lawn mowing and other outdoor activities. 4. Masks are Not Washable but they are Reusable. 5. Filters are inbuilt in the mask. No need separate filters.,04-02-20 0:00,62,
Pack of 6 Anti Pollution mask/Dust Cotton Mouth Nose Cover/Bike Face Mask for Men Women/Boys/Girls Black,B07Z1CV442,MUKHAKSH,,,,Pack of 6 Anti Pollution Cotton Mouth Nose Cover Face Mask . It is in black colour and is suitable for Men and Women.,11-10-19 0:00,5,
The big world Anti Pollution Mask/Dust/Air Filter for Pollution Smoke Allergy Mask with Filter PM2.5 Washable Unisex Size Black pack of 2,B0844YVWYD,Generic,299,169,43%,The anti-pollution mask is very innovative which has high filtration efficiency can easily filter dust gases pollen and other organic vapors thus protect from various respiratory problems or breathing allergies. It comes with a soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. The filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,22-01-20 0:00,1,THE BIG WORLD
V-44 Nose Mask VENUS MASK Pack of 5,B07K223BHG,SSWW,1200,595,50%,,30-10-18 0:00,0,Fireready(BHOLE ENTERPRISE)
RSM Anti Pollution Mask Non Woven Set Of 5 Black,B07S2XQR32,RSM,,,,Made of High Quality Cotton Materials Perfect for daily wear to protect you from dust ash and so on. A good choice for sports such as cycling camping hiking. One size fit all Unisex Cycling Anti-Dust Cotton Mouth Face Mask Respirator Black. Its Brand New product. Good for Bikers and cyclist. It protects your health from polluted air.,20-05-19 0:00,4,
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 9,B085LPNZMJ,Antil's,,,,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,
Pretty Petals Hygimax Anti-Pollution Mask for Men and Women,B078W8D3Z6,Pretty Petals,,,,Our Masks use high quality filter media and lining fabrics to provide utmost comfort and aesthetics without compromising on functionality.,07-01-18 0:00,0,
Nulife Nitrial Examination Gloves Powder Free Medium Size Blue 100Pcs,B07HYXFLD8,Nulife,600,450,25%,Latex Examination powder free gloves designed for comfortable wrinkle free fitting.The extremely soft rubber reduces finger fatigue and increases efficiency. Its stringent quality makes it the safest hand wear for surgeons.,03-10-18 0:00,1,DarshanEnterprises
wowobjects Standard Comfort Disposable Pollution/Surgical Elastic Face Mask with Earloop Great for Air Pollution Pack of 1,B084MKW34Q,wowobjects,999,245,75%,Comfortable wear for long hours. Lightweight construction promotes greater worker acceptance and may help increase wear time. Two-strap design with welded dual point attachment helps provide a secure seal. Convenient durable and effective filter box activated carbon in filter box can be removed and installed easily. NIOSH approved for at least 95 percent filtration efficiency against certain non-oil based particles.,10-02-20 0:00,0,arÃ­hÎ±nt
Kodenipr Club Non Woven Disposable Shoe Cover 50 Pieces,B07QJVKMG3,KODENIPR CLUB,399,165,59%,Kodenipr Club shoe cover is made from 100% non woven raw material tear-resistant not easy to break More breathable and anti-skid. It has high-quality elastic durable double elastic band bundle not only to ensure the degree of tightness comfortable to wear more durable. Non-woven fabrics adopt a new technology shoes cover covered with numerous concave and convex surface wear on the foot increase friction with the ground anti-skid effect is better more comfortable to use. Apply to any place where there is a need for cleanliness say good-bye to scattered slippers footprints and servant-like sweeping.,26-07-19 0:00,25,Aurum Creations
N95 Particulate Neo Respirator Masks for Protection against foreign particles Reusable Respirator Mask Pcs of 2,B084H8GR4G,Lotus,,,,,30-01-20 0:00,1,
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 8,B085LPLX6S,Antil's,799,399,50%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,Antil's Hub
PrimeSurgicals Unisex Disposable Bouffant Cap â€¢ Regular Size â€¢ Green Color â€¢ 100 Pcs â€¢ 31 Days Warranty,B01NBPWLJ0,PrimeSurgicals,299,299,,Nicely built regular size bouffant cap. Easy to wear. These are disposable caps and ideal for all profession like doctors nurses chefs and so on. The size is regular and usually fits on each and everyone's head. These caps are can also hold the woman's long hairs in it. __________________________________ provides top of the class and products at very nominal rates with warranties. â™¦ Our customer care hotline are open 24*7 you can call us any day and any time even on holidays at +91-888-22-39-580. â™¦ If you are not satisfied with the product then you can it for and we would refund your without asking any questions.,01-01-17 0:00,0,Prime Surgicals India
Bluday 3 ply face mask Anti- t Disposable Surgical Medical Salon Earloop Face Mouth Masks PACK OF 5,B085LQWPGX,Bluday,999,349,65%,Bluday Face Mask 3 ply is made of Polypropylene Spunbond and Meltblown nonwoven fabrics with adjustable nose strip and flat or round elastic ear - loop to give basic protection to the user. It's mainly used in medical dental cleanroom critical environment food handling/production and industrial manufacturing.,03-03-20 0:00,0,New Year Offer
Proexamine SurgicalsÂ® Cotton Reusable Surgeon Gown with IMPERVIOUS Material and with Set of Face Mask and Cap 1,B07PZWY82Y,Proexamine Surgicals,949,649,32%,Hard working classic Reusable Surgeons Gown Set (1 Gown + 1 Face Mask + 1 Cap) with IMPERVIOUS Material right balance of comfort and protection for the widest range of procedures. Made with high quality heavy duty durable cotton fabric Universal stander size.,21-03-19 0:00,0,Proexamine Surgicals Private Limited
VINAYAKAMART Disposable Face Surgical Face Mask 2Ply with Tie 10 Pcs,B085LL8YGQ,VINAYAKAMART,,,,Facemasks help limit the spread of germs 3PLY surgical face mask is a premium protective face mask used all over the world in various applications Face masks help limit the spread of germs. When someone talks coughs or sneezes they may release tiny drops into the air that can infect others.f someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. Made of Non-Woven Fabric It is ideal for every house in day to day activities as well as doctors surgeons dentist dental assistance nurses landscapers contractors plumbers exterminators nail technicians and many more.,06-03-20 0:00,0,
Pioneer Latex Medical Examination Powdered Gloves Box Medium - 100 Pieces,B078HYQDX5,Pioneer,675,265,61%,Examination gloves medium size pioneer disposable latex hand gloves glove gloves box pair gloves superior comfort,29-10-17 0:00,42,Safety Products
Aloetic Disposable Surgical Elastic 3 Ply Face Green Mask with EarloopUsed for Personal Health Virus Protection and Air Pollution Mask Mask and Respirator 75 pis,B085LTJBJ6,Aloetic,,,,A device used by large amounts of people in order to protect themselves from pollution. These days pollution is one of the major reason of respiratory disoder.,07-03-20 0:00,0,
Midas Safety Face Mask Non-Woven Flat Fold-P1 Yellow FF41 MaskPack of 25,B01CP38YYI,FRONTIER,,,,Non-Woven yellow flat fold P1 Double elastic FF-41 Mask Nose mask are used to protect the user from harmful gases and dust.,08-03-16 0:00,0,
Disposable Earloop Medical Face Masks Three Layer 3 Ply Non-Woven Face MaskNose Mask Dust Mask Pollution Mask Surgical Face Mask for Air Pollution Virus Protection Pack of 10,B085MC8CK8,TOAS,,,,3 Ply face mask Made of premium cotton and non-woven fabric provides the feature of soft texture quick drying you can sit on the face comfortably seal correctly around mouth and face breath freely to protect yourself against potentially life-threatening danger. This is 10pc of Bundle.,06-03-20 0:00,0,
PrimeBox Anti Pollution Mask Basic N-95 Black Multi-Use With Easy Exhalation Valve Black White Color,B07PDYPHDB,PRIMEBOX,,,,This Mask Have a Stylish Design With Good Quality Fabric. Dust Proof Sand Proof Let You Breathe Fresh Air. High and Soft Quality Materials and craftsmanship comfortable healthy and breathable overall fabric. Great Moisture Wicking Effect Reducing Sultry Experience. The Inner Material Fits The Skin Very Comfortably. This Products Durable long life.,07-03-19 0:00,3,
BHAGIRATH Standard comfort Disposable Pollution/Surgical Elastic mask 20,B085NLHJ9X,Bhagirath fab,9999,2199,78%,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,01-03-20 0:00,0,Bhagirath fab
3M 9003 IN_GRY Mask / Respirator FFP1 IN Pack of 5 Grey,B01N4D4XY0,3M,,,,The 3M disposable respirator 9003 IN provides lightweight comfortable and effective protection against dust and mist. The chin fold twin ear-loop design and nose clip ensure comfortable wear over a range of face sizes. Disposable P1 respirator offering reliable effective protection against dust and mists.,12-12-16 0:00,5,
Anti pollution and Virus Control 3 Layer Best Quality Mask for men women - Pack of 2,B085M7W1DH,ALGRADE,299,149,50%,Our environment are full of dust haze vehicle exhaust air pollution and the dust mask can keep you from 98% dust dirt pollen allergens fumes or particulates that effect you breath in the air. Specification Uses: Running cycling riding motorcycle woodworking lawn mowing and other outdoor activities.,07-03-20 0:00,0,ALGRADE FASHION
ASR SURGICAL Anti Pollution mask for Men Women n95 with inbuilt Filter air Masks Reusable,B085MLC3KB,ASR SURGICAL,,,,UNIQUE DESIGN: Unique ventilation design a plurality of holes excellent permeability Exhale the valve is opened without resistance air breathing valve air resistance is smaller smooth breathing BEST PROTECTION:The allergy mask separation of 98% of the dust chemicals smoke and particles It can be used for dust anti-vehicle exhaust anti-pollen allergy PM2.5 for cycling hiking skiing and other outdoor activity.,07-03-20 0:00,0,
MELVIS Disposable 3ply Surgical Elastic Face Mask Pack of 4,B085MM32PG,MELVIS,399,230,42%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,MELVIS
MELVIS Disposable 3ply Surgical Elastic Face Mask Pack of 5,B085MLG26J,MELVIS,,,,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,07-03-20 0:00,0,
Black Full Seal Pollution Mask for Men & Women ~ Reusable Cotton Air Filter Mask With Ear Loops Perfect for Blocking Pollution Dust Pollen and Germs Black - PACK OF 5,B07MQJVP25,Generic,,,,Travel - Airplane public areas weakened immune system outdoors Pets & Dog Grooming Sanding & Drywall Filter membranes block 99.997% of airborne pathogens (bacteria & viruses that cause illness) block allergens pollen & airborne contaminants down to 0.1 microns and reduce moisture loss by 88%. Data from independent microbiology & permeation test lab results for Masks Washable Reusable Mask with replaceable filters. Debrief Me Mask can not only bring your comfort protect You from dust M-shaped nose clip for a comfortable fit Allows for easy breath-ability Ideal for Dust Germs Allergies Smoke Pollution Ash Pollen Crafts Gardening Travel Anonymity,17-11-18 0:00,8,
Kestral QSS Particulate Respirator 9105 N95 Anti-Pollution Mask PACK OF 5,B07WKK6L3P,Kestral,,,,Are you conscious about your health? Looking for a perfect face mask to protect your health? This Kestral N95 PM 2.5 Anti Pollution Half Face Mask is a mask that filters out airborne particles dust allergens spores dander germs bacteria and viruses.,18-08-19 0:00,2,
Kodenipr ClubÂ® Disposable Stretchable White Caps - Cover Hair for Cooking & Hygiene 500 Pieces,B074PSHZB8,KODENIPR CLUB,699,499,29%,Aurum Creations Disposable Cap is made from spun bond polymer non-woven fabric spun-lace fabrics as the main raw material. This material is preferred for its light weight. Its gravity is lighter than Hydrophobic PP fibres so it has excellent water repellency and air permeability resulting in providing comfort & dryness resulting in anti bacterial and anti fungal resistance.,09-08-17 0:00,12,Aurum Creations
Kodenipr Club Disposable Cap Stretchable White Caps - Head Cover Hair For Cooking & Hygiene100 Pieces,B01M61Z6ZG,KODENIPR CLUB,500,65,87%,kodenipr club disposable cap is made from spun bond polymer non-woven fabric spun-lace fabrics as the main raw material. This material is preferred for its light weight. Its gravity is lighter than hydrophobic pp fibres so it has excellent water repellency and air permeability resulting in providing comfort & dryness resulting in anti bacterial and anti fungal resistance.,06-10-16 0:00,281,Genesis Lifesciences (India) Pvt. Ltd.
MEDIFIT OT/Surgical Gowns Cap and Mask Large Green,B06Y4LMFB7,MEDIFIT,830,830,,This is OT/Surgical Gown which comes along with a cap and a mask.,08-04-17 0:00,6,Medifit Healthcare Garments
Aurum Creations Brand - Kodenipr ClubÂ® Disposable Stretchable White Caps100 Pcs. & Gloves-200 Pcs.100 pairs,B0736ZQ4Y4,KODENIPR CLUB,349,275,21%,Aurum Creations Brand - Kodenipr Club Disposable Cap are made from spun bond polymer non-woven fabric spun-lace fabrics as the main raw material. This material is preferred for its light weight. Its gravity is lighter than Hydrophobic PP fibres so it has excellent water repellency and air permeability resulting in providing comfort & dryness resulting in anti bacterial and anti fungal resistance.,29-07-19 0:00,12,Aurum Creations
Mezmo Nose Mask-3ply Disposable Mouth Masks Nose Mask Dust Mask Pollution Mask Color May Vary - Pack Of 50,B085L73PZ9,MEZMO,,,,A device used by large amounts of people in order to protect themselves from pollution. These days pollution is one of the major reason of respiratory disoder.,05-03-20 0:00,0,
Adexoom 3ply Disposable|Surgical Medical|Salon|Earloop|Face Mouth Masks|Pack Of 50,B085LCSJCR,Adexoom,,,,,06-03-20 0:00,0,
OM FAB Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus.,B085DKMDBN,OM FAB,50999,9999,80%,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,11-02-20 0:00,0,Om Fab
NV MART Disposable 3ply Surgical Elastic Face Mask Pack of 2,B085NKCQ8G,NV MART,249,175,30%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,09-03-20 0:00,0,NV MART
NV MART Disposable 3ply Surgical Elastic Face Mask Pack of 1,B085NKQSWZ,NV MART,199,149,25%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,09-03-20 0:00,0,NV MART
Aloetic Disposable Surgical Elastic 3 Ply Face Green Mask with EarloopUsed for Personal Health Virus Protection and Air Pollution Mask Mask and Respirator 50 pis,B085LST5W7,Aloetic,,,,A device used by large amounts of people in order to protect themselves from pollution. These days pollution is one of the major reason of respiratory disoder.,07-03-20 0:00,0,
NV MART Disposable 3ply Surgical Elastic Face Mask Pack of 3,B085NK74TL,NV MART,299,199,33%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,09-03-20 0:00,0,NV MART
Pack of 4 Kids Multicolor Anti Pollution mask/Dust Cotton Mouth Nose Cover for Kids Print May Vary,B07Z2T16KJ,MUKHAKSH,,,,Kids Multicolor Anti Pollution mask/ Dust Cotton Mouth Nose Cover for Kids Print may vary,12-10-19 0:00,2,
Anti pollution and Virus Control 3 Layer Best Quality Mask for men women - Pack of 5,B085M7G5SZ,ALGRADE,998,198,80%,Our environment are full of dust haze vehicle exhaust air pollution and the dust mask can keep you from 98% dust dirt pollen allergens fumes or particulates that effect you breath in the air. Specification Uses: Running cycling riding motorcycle woodworking lawn mowing and other outdoor activities.,07-03-20 0:00,0,DAIVE HOME SOLUTIONS
Magnum Flat Fold Respirator with NIOSH N95 Certification Pack of 1,B085LKJLLW,Magnum,400,299,25%,N95 Anti Pollution Nose Mask Respirators offer the same great protection as the original. N95 Anti Pollution Nose Mask but with the addition of the CoolFlow Exhalation Valve for extra comfort! These N95 masks are a high quality N 95 Anti Pollution Nose Mask respirator featuring lightweight construction for greater worker comfort and increased wear time. The N95 masks has a cushioned adjustable nose clip that helps provide a custom fit and secure seal. Allergy-free fuss-free. The N95 Surgical Respirator is latex PVC and silicone free which makes this a viable option for people with sensitivities to these materials. These respirators are disposable which means thereâ€™s no fuss to disinfect them before use. Additional Features: Lint free seal; Multi layer; Adjustor beads; Anti clogging;,06-03-20 0:00,0,Cloudtail India
NV MART Disposable 3ply Surgical Elastic Face Mask Pack of 100,B085NJWCCM,NV MART,3999,1999,50%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,09-03-20 0:00,0,NV MART
Vritraz N95 PM 2.5 Anti-Pollution Activated Carbon Face Mask with Breathing Valve and replaceable filter Plain Pink,B07ZNW41JG,VRITRAZ,,,,Are you conscious about your health? Looking for a perfect face mask to protect your health? This JONTY N95 PM 2.5 Anti Pollution Half Face Mask is a mask that filters out airborne particles dust allergens spores dander germs bacteria and viruses. JONTY is committed to provide you a healthier lifestyle without compromising on your fashion statement. This face mask is one of the best masks to wear for extended hours even in hot and humid conditions.,27-10-19 0:00,134,
NV MART Disposable 3ply Surgical Elastic Face Mask Pack of 6,B085NK3WNB,NV MART,499,299,40%,This Face mask is very innovative which has high filtration efficiency can easily filter dust gases pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,09-03-20 0:00,0,NV MART
ONRR COLLECTIONS ANTI VIRUS ANTI DUST PROTECTOR ANTI POLLUTION GREY MASK,B085LFM3PC,ONRR COLLECTIONS,,,,High filteration of the respirators protects you from harmful pollutants and dust Can be folded when not in use & slipped easily into the pocket. The maintenance free respirators are not only economical but easy to use as well Comfortable the respirator fits snugly around your face and helps avoid your glasses from fogging AS/NZ Approval P1 Class of Filtering Efficiency CLI tested Filtering efficiency ranging 80% when tested against 0.3-micron sodium chloride particle,03-03-20 0:00,0,
Om fab V44+Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus. 5,B085KV7GSP,OM FAB,50000,1799,96%,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,11-02-20 0:00,0,Om Fab
Proexamine SurgicalsÂ® Cotton Reusable Ortho Surgeon Gown with Set of Face Mask and Cap 1,B07PZ1S973,Proexamine Surgicals,949,649,32%,Hard working classic Reusable Ortho Surgeons Gown Set (1 Gown + 1 Face Mask + 1 Cap) right balance of comfort and protection for the widest range of procedures. Made with high quality heavy duty durable cotton fabric Universal stander size.,22-03-19 0:00,0,Proexamine Surgicals Private Limited
Bann Huff Anti pollution and Virus Control 3 Layer Mask for Men Women,B085LMJHBP,BANN HUFF,,,,Our environment are full of dust haze vehicle exhaust air pollution and the dust mask can keep you from 98% dust dirt pollen allergens fumes or particulates that effect you breath in the air. Specification Uses: Running cycling riding motorcycle woodworking lawn mowing and other outdoor activities.,06-03-20 0:00,0,
VENUS V-410-V Imported Surgical Mask Safety Mask with Valve.,B085L3GDWL,Venus,2499,699,72%,VENUS V-410-V Imported Surgical Mask Safety Mask with Valve. which reduces the temperature inside the respirator by 10 F. V-410 V is IS 9473 approved. Unique Fit Adjuster for optimum protection and comfort. Superior Micro Fine Filter technology which protects against RSPM up to 0.3micron. V-410 V has no metal exposure or loose parts. Skin-friendly fabric for soft feel. Stapled outside Filter media which is leak-proof and also avoids puncture in the filter area.,06-03-20 0:00,0,Party-Hut
JMS Disposable Non woven Surgical kit - hospital pre surgical cap mask gown shoe cover Set 1,B07HY6ZJ9Y,JMS,400,150,63%,Hospital Gowns for Patients are well Designed with Fabrics so Hospital Nurses can Easily Access the part of the Patient's body being treated. The offered gowns are highly recommended for Smooth finish Softness and Design. Superior Quality Fabric and Modern Technology in Line with Industrial Quality standards.,26-03-19 0:00,1,THIRU PRODUCTS
COIF Anti Pollution Mask for Women and Men N99 Dust Protection Nose Face Mask Respirator Mask for Pollution Disposable Pollution Surgical Elastic Mask Air Pollution Virus Protection - 1 pcs,B085MBS4LM,COIF,600,339,44%,Coif we believe you shouldn't have to choose between your lifestyle and pollution protection. We believe that your every breath you breathe should be pure. We've developed an extensive anti-pollution system using cutting-edge science from around the world. The result? Outstanding Pollution Protection fit your Lifestyle. Coif Shield N95 Protect+ Anti-Pollution Smart Mask provides 98% 3-layer filtration of PM2.5 pollution particles. It has European certification CE0194 EN149 FFP1/FFP2. Innovated in Singapore the Dettol SiTi Shield Smart Mask is engineered in 3 sizes (S size M size L size) to create the superb fit for a broad age range even for young ones. This anti-pollution mask provides 99% filtration of bacteria as tested by Nelson Laboratories. Smart valve fitted on the inside of the mask provides the seamless outflow of exhaled air providing better comfort. It is made of ultra-soft fabric that's gentle on skin and provides comfortable fit. It has adjustable straps with soft nose pad. Tested in the US the mask is made basis Face-fit 3D scanning technique for the Asian face. From the makers of Dettol the smart anti-pollution mask is fit for the entire family. It is designed and tested to fit Children.,06-03-20 0:00,0,COIFâ„¢
Gnexin 50 Pcs Disposable Face Masks Elastic Ear loop Type Mask and RespiratorPollutionAnti virus,B084FJZXQL,Gnexin,,,,Facemasks help limit the spread of germs. When someone talks coughs or sneezes they may release tiny drops into the air that can infect others. If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. It is ideal for every house in day to day activities as well as doctors surgeons dentist dental assistance nurses landscapers contractors plumbers exterminators nail technicians and many more.,02-02-20 0:00,0,
Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus. 100,B085L63VX5,OM FAB,9999,9000,10%,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,11-02-20 0:00,0,Om Fab
standard comfort 20 PCS Disposable Pollution/Surgical Elastic Mask standard comfort 5pc Pollution/Surgical Elastic Mask Mask Mask,B085KWB2W6,KLU,,,,KLU Facemasks help limit the spread of germs. When someone talks coughs or sneezes they may release tiny drops into the air that can infect others. If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. It is ideal for every house in day to day activities as well as doctors surgeons dentist dental assistance nurses landscapers contractors plumbers exterminators nail technicians and many more.,06-03-20 0:00,0,
Mashur Fab Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution 10,B085DS36N8,Mashur Fab,,,,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,02-03-20 0:00,0,
Bann Huff Anti pollution and Virus Control Double Filter Mask for Men Women,B085LMQNLQ,BANN HUFF,,,,Our environment are full of dust haze vehicle exhaust air pollution and the dust mask can keep you from 98% dust dirt pollen allergens fumes or particulates that effect you breath in the air. Specification Uses: Running cycling riding motorcycle woodworking lawn mowing and other outdoor activities.,06-03-20 0:00,0,
Sribalaji Trader Set of 2 pcs Anti Pollution Driving Protection Reusable Dust Cotton Mouth Nose Face Mask Blue.,B085L8Q33X,Sribalaji Trader,499,225,55%,Product Description : 1. Cotton face mask which is used to improve the air you breathe when you are outside on bad air days. 2. Typical Uses: Filtering the air when you are working in an area with a high concentration of air pollution chemicals dust smoke pollen ash mold clay etc. 3. It can be used for Bike/Scooter riding which protects you from dust & pollution and also from wide range of pollutants in traffic. 4. It does not impair breathing voice & vision while wearing this mask. It is must have product for driving two wheelers for your health. 5. Adjustable nose band. Forms a perfect seal across the nose. The nose clip is sewn into the mask itself making it invisible. 6. Colors: Multicolor. 7. One layer of 100% Cotton Cloth for Skin Contact. 8. Washable & Resuable Mask 9. Soft Ear Straps 10. Easy to Adjust 11. Free Size 12. Set of 2 Pieces,06-03-20 0:00,0,Sribalaji Trader
Disposable Air Pollution & Protection Mask Face Mask Nose Mask Dust Mask with tie 1,B085LKYXQ1,Generic,345,270,22%,Cotton face mask which is used to improve the air you breathe when you are outside on bad air days. Typical Uses: Filtering the air when you are working in an area with a high concentration of air pollution chemicals dust smoke pollen ash mold clay etc. It can be used for Bike/Scooter riding which protects you from dust & pollution and also from a wide range of pollutants in traffic. It does not impair breathing voice & vision while wearing this mask. It is a must-have product for driving two-wheelers for your health. Adjustable noseband. Forms a perfect seal across the nose. The nose clip is sewn into the mask itself making it invisible. One layer of 100% Cotton Cloth for Skin Contact. Washable & Reusable Mask. Soft Ear Straps Easy to Adjust Free Size Facemasks help limit the spread of germs. When someone talks coughs or sneezes they may release tiny drops into the air that can infect others. If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. It is ideal for every house in day to day activities as well as doctors surgeons dentist dental assistance nurses landscapers contractors plumbers exterminators nail technicians and many more.,06-03-20 0:00,0,Nihal Cyber Solutions
